Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2226028.87065,0.065904714,-0.01683038,0.0030727552,8.155341,5.6179676,-0.77044785
2226028.930906,0.011957593,0.047302,0.037404895,8.150401,5.5558467,-0.9698332
2226029.027679,0.025022263,0.0031111047,0.014319551,8.070467,5.440586,-0.95351714
2226029.128205,0.06764855,0.058801796,0.03946272,8.040829,5.4741163,-0.7933502
2226029.226539,0.06292464,0.01541624,0.039716788,8.155641,5.4841456,-1.0964699
2226029.322776,-0.049381398,0.029176261,0.010779943,8.008945,5.324278,-0.9627979
2226029.42235,0.0101580955,0.05212339,0.03633457,8.094567,5.376669,-0.95366687
2226029.52374,-0.022218486,0.06572282,0.013924338,8.066127,5.4208274,-1.111289
2226029.6250819997,-0.05675516,0.060164005,0.006427273,8.125254,5.362299,-1.121468
2226029.723101,-0.30676925,0.20728502,-0.068191305,8.343948,5.5140834,-0.9702823
2226029.826711,-1.2338177,0.83627224,-0.039367646,8.483758,5.824837,-0.640518
2226030.020515,-1.6585733,1.0023736,-2.456539,9.719588,5.2688932,3.1154714
2226030.124415,-1.8652871,0.75897133,-0.83807975,7.0784802,7.0504885,3.6405795
2226030.221603,-0.29297915,-0.4519736,-1.5218405,5.3037705,5.2947893,6.719527
2226030.324035,-0.22606003,0.011293401,-1.5062293,4.427493,7.260352,5.342091
2226030.420692,2.013757,-1.4352976,-1.7263616,3.131488,5.7097263,7.8537183
2226030.521882,1.0051905,-1.7682092,-2.109864,4.099974,9.080716,1.8214123
2226030.619835,0.058108844,-1.1714278,-1.6295824,2.9244685,10.174342,4.487069
2226030.723533,1.6323028,-0.91708106,-1.1588898,1.7043557,10.788964,5.692363
2226030.8223759998,2.443145,-1.7295599,-1.9162976,0.3195854,11.232641,4.3328896
2226030.924506,3.8635175,-0.9589255,-2.496023,-2.4954607,10.043065,2.8979735
2226031.028102,4.6274266,-1.4219695,-2.6383145,-4.362229,6.854696,1.8470092
2226031.125191,7.155429,1.4319242,-3.226695,-4.018244,-0.5150789,3.979774
2226031.228181,3.280726,-1.0800601,-2.87681,-5.974975,-5.982759,-2.3288572
2226031.324519,1.8275278,-1.7259526,-1.8994043,-5.51109,-7.1653,-0.09071136
2226031.421354,2.2121625,-4.7705984,-0.8649769,-3.721561,-5.535938,1.7088464
2226031.5249759997,1.5627997,-11.342253,4.887995,9.446107,-8.779094,-4.8196774
2226031.624373,-4.685094,-11.139009,14.96546,68.32317,-56.818695,-2.586621
2226031.824674,20.976316,8.563242,2.6158288,162.97389,-116.88683,-74.11283
2226031.931884,2.8789573,4.1623664,-1.3579786,45.71808,-36.814144,-29.476254
2226032.024224,5.7858973,1.2945485,-4.2110653,7.5130267,-18.525026,-30.55042
2226032.129954,-0.6235368,-3.3899763,-0.5266846,1.6893868,1.1704161,9.6091175
2226032.221695,1.1933489,-0.3932301,-0.2601674,6.7966166,9.514813,1.6425344
2226032.3259739997,1.2508609,-0.19226478,-0.057497114,6.9835777,7.691755,-0.067060545
2226032.4282899997,0.121586084,-0.67882085,-0.45468628,4.451443,6.6080084,-1.6925304
2226032.524589,0.00027537087,-0.016742228,0.1680191,7.448211,6.9629207,-1.99565
2226032.63421,0.17040528,-0.026745327,-0.13929398,7.295978,5.9242306,-3.9531295
2226032.725656,-0.47761557,-0.059673183,0.33989286,6.281388,6.4207478,-1.3617183
2226032.826023,0.7269956,0.20606288,-0.3586178,7.229067,5.712421,-3.4155972
2226032.926068,-0.3132719,0.033330258,-0.09130994,7.391928,6.608308,-2.3161335
2226033.022494,-0.12754837,0.103317335,-0.22626296,6.180348,6.7109942,-2.8783643
2226033.127103,-0.1303793,-0.35378897,-0.45944455,8.811726,7.3827972,-0.93256074
2226033.22749,-0.001479386,-0.24552667,-0.39482135,6.6873436,8.513097,-1.52922
2226033.329142,0.09135814,-0.041868087,-0.68918824,7.306606,7.9014688,-2.0094213
2226033.433137,0.06829836,0.24051566,0.20620564,7.3254666,7.4582405,-3.7643719
2226033.5327089997,-0.14793593,-0.5769363,0.09084495,5.969287,6.670728,-4.9981065
