Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2228636.02731,0.44095424,0.069722086,0.08244161,-0.18366806,3.7992494,8.326285
2228636.1327839997,-0.28177282,0.080622405,0.12716807,-0.52091676,4.1194334,8.17495
2228636.231755,-0.02439349,-0.100723416,0.041619882,0.4285588,3.913462,9.606274
2228636.331528,-0.0065425877,0.030238597,-0.010139986,0.26869124,4.169729,8.343948
2228636.432364,-0.28601843,-0.023732759,0.036714073,-0.06661148,3.990402,8.988658
2228636.533677,-0.034383006,-0.0445166,0.059775714,0.20432511,3.8294866,9.032666
2228636.636804,-0.25054488,-0.07018468,0.095852226,0.3794609,3.830684,8.797206
2228636.732511,-0.60483795,0.023896012,0.08135797,-0.38814285,3.6705172,9.105415
2228636.8321909998,0.26568866,-0.35007572,2.4420393,-6.2926145,2.156865,9.826316
2228636.930961,1.2013298,-0.7667334,4.125644,-5.1650095,0.31284943,11.739637
2228637.0308729997,1.9579307,1.3998743,6.9260125,-2.8734248,-1.7597406,11.623179
2228637.125135,5.4464064,-1.5551214,6.6215425,2.603087,-11.739937,15.314504
2228637.230858,4.739611,-0.10252957,2.6283934,16.826658,-6.9171157,7.7073226
2228637.329901,0.35318497,0.31090888,-0.7549537,6.7476683,-7.151229,1.025218
2228637.428097,-3.4245,0.10106456,-1.1607777,19.3802,-11.93094,-0.9225316
2228637.5308,-10.553986,-1.0043644,-2.4620793,27.111471,-40.310123,18.764828
2228637.626991,-11.015637,1.4748759,-15.203645,29.05907,-80.20711,36.044746
2228637.831428,4.766547,-2.0595908,-4.5536876,-21.478834,-29.677586,30.196856
2228637.930172,-2.2783668,2.8127716,-1.7849419,-11.242521,-3.3227901,2.111509
2228638.034751,-0.23864107,-0.14405411,-0.2430289,-10.7540865,-2.2890399,10.190359
2228638.1325209998,1.6256486,-2.624349,2.8959842,-8.32404,2.824177,5.9698853
2228638.226776,1.2786622,-0.8208403,1.711759,0.58842635,6.925947,7.522906
2228638.37926,-0.005309012,0.5227761,-0.44647682,-2.2426364,6.5901957,7.042555
2228638.432407,-0.46228376,-0.17542721,1.2865009,-3.15454,7.0983887,6.7985625
2228638.526574,0.52617216,0.40834194,-0.18284118,-0.09086105,7.7863584,6.153703
2228638.630295,0.64325994,-1.4281981,-0.48277837,-3.7832327,5.6745496,9.204958
2228638.7285039998,1.0767112,-3.12039,0.11811652,-0.92313033,7.3169346,5.672903
2228638.8258209997,0.3586812,0.16655277,0.4674516,-0.11555969,8.259674,3.4293685
2228638.931314,0.1162579,-0.23756249,-0.25196752,0.023650818,7.9674816,4.7877936
2228639.036673,-0.007929296,-0.9065107,0.1045874,-0.17603393,7.4730597,5.7535853
2228639.1350869997,-1.3107916,1.0111519,0.102516256,-0.82717985,7.353758,5.1380653
2228639.239095,0.41728938,0.033104423,0.13742071,-0.13906083,7.0907545,6.433172
2228639.43341,-0.64933485,1.0097297,0.111727595,0.79290116,7.560927,5.059778
2228639.5321299997,-0.54048187,-0.5410779,0.5508067,-0.63812304,6.904991,5.9818606
2228639.629177,-0.475076,-0.024140224,0.29807323,0.6180647,6.1108923,7.635322
2228639.730254,0.3518619,-0.074976504,0.5913411,3.026107,7.08821,7.814799
2228639.82988,0.7741921,0.73682076,0.26346838,0.15343094,5.584437,6.8925667
