Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2228522.559786,0.27918318,-0.42658514,0.15590358,9.292826,5.4938755,0.069455564
2228522.656016,0.7263889,0.41331488,0.0413019,8.685838,4.774172,-0.017363891
2228522.780677,0.44673833,-0.074210584,0.21259588,8.393795,4.506828,0.0968486
2228522.855346,0.2681039,0.24916536,0.21479699,8.141419,4.388574,-0.13816269
2228522.9542549998,0.07198418,0.32460684,0.1126123,8.903635,4.3989024,-0.51552796
2228523.063832,0.10473653,0.27817518,0.1713262,9.241781,3.1105316,0.0076341247
2228523.1589039997,0.032522257,0.09893484,0.13252155,8.860075,3.0999038,-0.11466156
2228523.255854,-0.3625766,0.72698706,0.9221688,8.916059,2.427053,0.60204804
2228523.354996,-0.3086151,0.384198,-0.19206505,9.409882,1.8732047,1.3621674
2228523.4557109997,-0.5012551,0.43804312,0.25528342,9.5793295,1.2789404,1.2088861
2228523.556405,-2.076621,-0.32661992,0.26553315,8.765173,2.0815713,2.218686
2228523.6773429997,-1.3106608,-0.33805582,-1.3838035,9.768387,2.5695565,2.0787272
2228523.7610009997,-0.5998158,-0.47881505,-2.0351524,9.193432,4.784201,4.634662
2228523.953493,0.026595125,-0.4996101,-2.6691556,2.3046076,8.986712,3.6506085
2228524.056704,1.8182127,0.9237688,-0.92527217,0.33754808,-0.41059616,4.968618
2228524.152779,-2.4165378,1.3842275,-0.54962426,5.0216074,1.0548564,-10.551408
2228524.260499,-1.1814688,-1.333501,1.2401092,16.265177,7.971972,2.6782305
2228524.3609289997,5.201783,-6.139839,0.52268666,13.781541,18.569933,5.0096326
2228524.465136,4.093823,-7.1975026,-1.9185383,20.267105,22.470821,-8.419991
2228524.554628,3.174821,-7.031154,-4.4932747,6.4286814,10.910063,3.1985486
2228524.654896,1.399216,-6.0998564,-4.146248,2.7948382,-0.97237796,4.346062
2228524.754618,-0.7210205,-7.3432918,-1.7536058,-0.15867004,-6.281388,2.8921359
2228524.856847,-9.180446,-11.482261,4.0021887,24.980951,-28.714039,9.279353
2228524.956059,-4.368657,-4.6933846,20.124332,28.89621,-79.06079,44.021805
2228525.058493,7.451528,-5.8212514,27.152065,104.446655,-102.10896,50.58431
2228525.159069,0.5599637,10.366765,-1.2853433,43.818977,-14.021342,-10.982961
2228525.260869,2.3658798,3.04402,0.89644504,28.795021,-18.0815,-18.10036
2228525.359305,-0.94717056,0.566698,-1.1747036,19.609371,-9.624536,-8.076305
2228525.453325,-2.576858,-1.7326691,-1.4141151,10.530003,0.9834549,-5.6953564
2228525.5527419997,-4.3296766,0.1944097,-1.5094142,13.610597,2.5532405,1.8507514
2228525.652826,-5.481873,-0.826646,-2.4068174,10.730736,0.4327501,2.2926323
2228525.760528,-1.6853164,-2.4439306,-1.6813433,5.9020767,0.72613996,4.4012976
2228525.95179,-0.23318611,-1.6273155,0.50303036,9.781559,6.027516,2.7180479
2228526.054449,0.10378632,-0.66159046,0.6939737,7.625443,5.1982403,-1.524879
2228526.159047,-0.70946586,-0.14073528,0.85043865,9.146131,6.452931,-0.6116281
2228526.256454,-1.0669798,-0.18433575,0.6909172,10.144704,7.8626995,-2.3149362
2228526.354413,-0.101802796,-0.6522489,0.105814844,5.0316367,3.9353166,-0.09505234
2228526.457353,-0.23399918,-1.0103756,0.8786613,7.1856575,3.5756145,-2.3525078
2228526.559396,-2.1910872,-0.5560505,0.596551,7.4823403,2.0695963,-2.8265722
2228526.657597,0.49010953,0.5653526,0.5981023,13.992303,4.262087,-4.3788443
2228526.758845,-0.422184,-0.35797998,0.25851703,8.393496,2.5243506,-1.9561322
2228526.8586629997,0.27778235,-0.078030616,-0.23843601,10.873837,3.8764887,-1.3882132
2228526.954514,0.108245246,0.3122956,-0.5234358,8.475375,2.2022204,-1.9294876
2228527.056491,0.20698728,0.02586462,-0.03008653,8.764724,2.8945308,-2.0463946
