Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2226388.108414,-0.023173496,0.021852568,0.04214053,-0.59665924,0.291893,-9.674382
2226388.167318,0.02905562,-0.021320734,-0.021988124,-0.6542894,0.27572662,-9.734557
2226388.268968,-0.039081357,0.01995693,0.029204756,-0.50894165,0.23575974,-9.798325
2226388.367264,0.094172575,0.00774607,-0.015520104,-0.4565506,0.18815872,-9.501042
2226388.569973,-0.01905918,0.010469685,0.015962722,-0.50864226,0.23740631,-9.383388
2226388.66938,-0.040789776,0.027526433,-0.016749153,-0.5730084,0.21300705,-9.674532
2226388.765824,0.020203538,-0.05922391,-0.066140935,-0.74290514,0.24324417,-9.965527
2226388.865219,-0.06282237,-0.013587714,0.014139255,-0.84454376,0.21644989,-9.66061
2226388.967369,0.057387393,0.6187168,0.0054456317,-0.96294755,0.7276369,-8.750054
2226389.072222,-0.13687982,-0.94585574,0.22030494,0.11316467,-0.0056881714,-0.008532257
2226389.172619,-0.10226032,-0.8961428,0.22355905,0.10762619,-0.01167572,-0.13397141
2226389.271882,-0.046169892,-0.82074684,0.22556335,0.11196716,-0.004191284,-0.2906955
2226389.371468,0.028204473,-0.59485376,0.22130495,0.11181747,0.001047821,-0.4899312
2226389.464563,-4.336264,-2.0892587,-0.91992986,0.4074527,-1.047372,0.21151017
2226389.568083,-4.344741,-1.8189545,-0.360302,0.27363098,-0.9996213,0.057929534
2226389.6661199997,-4.322115,-1.709066,0.058436677,0.25671616,-0.9798624,0.03996689
2226389.7687729998,6.236042,0.558952,-0.63382405,0.14639556,-1.8681152,-0.019609222
2226389.865305,6.220957,0.324977,-0.45794305,0.10822494,-1.8173708,-0.104632415
2226389.966559,1.9719683,-4.4239464,2.5628161,0.27707383,-0.3134482,0.21689896
2226390.068346,2.1306639,3.7800124,0.6386303,3.4738262,1.024769,-19.138151
2226390.267224,-9.880328e-05,0.0062440475,-0.00065034395,-0.2746788,-0.11765534,-9.584719
2226390.368494,-0.0040578586,0.0038506645,0.0013675332,0.051642608,-0.066910855,-9.641002
2226390.467873,-0.005866145,0.0025478462,-7.6166405e-05,0.07858658,-0.034278717,-9.666748
2226390.568231,-0.0067148944,-0.00028469192,0.0008024104,0.06661148,-0.038020935,-9.744586
2226390.667252,-0.0065921224,0.00036139096,0.002217348,0.051043853,-0.04565506,-9.746233
2226390.765532,-0.006517554,0.0010681939,0.0019459717,0.060474243,-0.04819977,-9.729917
2226390.867237,-0.006306632,0.0023888554,-2.7164242e-05,0.10762619,-0.039068755,-9.6847105
2226390.967513,-0.0027728833,-0.047628507,0.010838266,0.121397555,-0.04790039,-9.711355
2226391.066446,-0.00489995,-0.021908494,0.011796738,0.27033782,-0.26464966,-9.90116
2226391.1686009998,-0.010027068,0.005819007,0.0023465112,0.066162415,-0.07155121,-9.726624
2226391.27373,-0.005547897,0.008027567,0.001938515,0.043858796,-0.054337006,-9.66555
2226391.365498,-0.0058504324,0.014358699,0.0012610068,0.08008347,-0.051043853,-9.65118
2226391.466286,0.0015616777,0.009970875,0.0056307213,0.11436218,-0.085023195,-9.687105
2226391.567124,-0.0018492991,0.014665496,0.0022152173,0.0755928,-0.08906479,-9.717941
2226391.6669739997,-0.018224543,-0.005044027,-0.007159909,0.123493195,-0.05254074,-9.777068
2226391.764662,-0.010608702,0.007046724,-0.00089189265,0.09340576,-0.05388794,-9.731414
2226391.86886,-0.003961186,-0.03353053,0.0022431805,0.09101074,-0.061522063,-9.778715
2226392.0668929997,-0.008746887,-0.002617621,0.002887932,0.15552658,-0.07005432,-9.761202
2226392.168346,0.017888453,0.117744744,2.302436,1.2283456,-4.1361985,-9.629625
2226392.270031,0.16119581,0.764271,1.6222249,2.4188201,-0.85816544,-10.642868
2226392.376234,0.7499014,0.5123997,0.3215362,4.170178,-7.104526,-9.358089
