Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2226300.5336289997,-0.31489375,-0.5260899,-0.08431514,-1.1352392,-0.52795213,9.296568
2226300.606753,0.09424075,-0.48259142,0.13268188,0.060324553,-0.0055384827,10.038276
2226300.7050509998,-0.09993619,-0.050946005,-0.21510006,-0.009879456,-0.124541014,10.038574
2226300.8095029998,0.62465245,-0.24521083,-0.008953547,-0.21570145,0.034578096,9.631421
2226300.901585,-0.43313652,0.116846725,-0.065382466,0.6276448,0.26210496,9.292826
2226301.010462,-0.8351215,0.027739486,-0.041643582,0.004939728,-0.34982255,10.229129
2226301.101638,0.30516577,-0.08210286,-0.15489584,0.09265732,-1.0639874,10.318493
2226301.203756,0.17528047,-0.19234867,0.061173342,0.2377057,-0.45744872,9.349558
2226301.3078159997,-0.037622742,-0.31101167,-0.0017406421,0.5093907,-0.28336075,9.585766
2226301.408009,0.14608823,-0.17890424,-0.09233819,0.6146219,-0.29503646,8.955427
2226301.503765,-0.21580766,-0.22396305,-0.0076906765,0.82358736,-0.45310774,9.24253
2226301.606027,-0.38989583,-0.46671686,-0.39602083,1.5417938,-0.9794133,13.971795
2226301.8038359997,2.1761138,-5.7581663,0.2265567,15.186669,2.515968,14.861546
2226301.90502,2.0879643,-5.820046,-0.941314,0.23546036,-0.025596771,-0.15043716
2226302.005269,1.2820956,-5.899233,-1.5509795,0.3143463,-0.0504451,-0.0013471985
2226302.106809,0.2574752,-6.0441785,-1.8645136,0.4734654,-0.09999207,0.03278183
2226302.203648,-0.87090987,-5.981039,-1.7937891,0.5869295,-0.2228865,0.0013471985
2226302.300864,-1.7849326,-5.7595778,-1.3510333,0.6620732,-0.37077895,0.017064514
2226302.404203,-2.191711,-5.3683414,-0.729227,0.6129753,-0.41463774,0.059127044
2226302.503209,-2.4462316,-5.31679,-0.04481115,0.6156697,-0.43993515,0.16151413
2226302.605819,-23.81567,-9.693695,2.5678263,-15.428716,61.813507,-17.737965
2226302.71055,-2.9759483,2.0120502,-1.0779788,0.027393036,-0.38365218,0.062420197
2226302.801477,-2.6882203,2.320752,-1.3971521,0.051193543,-0.32706985,0.063917086
2226302.906414,-2.223474,2.7157526,-1.8037108,0.09490265,-0.28470793,0.09355545
2226303.0057159998,6.3173246,0.35498178,-1.6030788,-0.02574646,-2.7303224,2.2956262
2226303.106824,6.3048716,-0.7226024,-1.6310331,-0.0050894166,-1.9013461,0.066012725
2226303.201638,0.62622446,-10.179407,2.3002417,5.1974916,28.732302,34.51702
2226303.300889,0.46579513,-2.0789278,-0.15732358,0.47436357,-0.7674541,5.2796707
2226303.412207,-0.044043623,-0.06376087,0.0032682312,0.52196455,-0.30311966,9.638456
2226303.505972,-0.0038938078,0.0056759953,0.0012458267,0.23007156,0.07274872,9.820029
2226303.610639,-0.0070392676,0.0015835156,-0.00013315806,0.2228865,0.064066775,9.830058
2226303.804387,-0.0038573225,0.002569684,0.003466903,0.23306534,0.07694,9.840536
2226303.909939,0.027986627,0.07922238,-0.005049886,-0.09729767,0.5812413,9.908645
2226304.005122,0.0051438957,0.04971722,-0.0001139833,0.08666977,0.14100677,9.564061
2226304.106898,0.010011888,-0.0026972496,0.00587227,0.1845662,0.25641677,9.823322
2226304.206094,-0.0026873958,0.022110628,0.0012415657,0.20881577,-0.14714402,9.855057
2226304.306376,-0.0032996566,-0.012953616,0.0043931506,0.27827132,-0.07439529,9.992471
2226304.405684,-0.03411616,-0.0992403,-0.0024413196,0.2839595,-0.015118561,9.77138
2226304.5139389997,-0.02993979,-0.032932382,0.012304337,0.2772235,0.009879456,10.017768
2226304.606102,0.009666742,-0.017639447,-0.022315692,0.5598358,-0.123493195,9.615106
2226304.706297,-0.033522006,-0.07961946,-0.0017904432,-0.1790277,-0.3625461,9.043294
2226304.807052,0.0019619507,-0.0070722904,0.0032895366,0.21659958,0.122894436,9.917027
2226304.906377,0.010749583,0.0057468354,0.008383631,0.6170169,-0.16181351,9.489217
2226305.006667,0.015557388,0.014663897,0.008053665,0.17318985,0.1672023,9.688153
2226305.105488,-0.012920858,0.007474428,-0.0065575014,0.3595523,-0.21061203,9.937684
2226305.2070319997,-0.0031824776,0.0093698,-0.0029768813,0.25372237,0.0703537,9.96867
2226305.305553,-0.008438226,0.003075951,0.0010522149,0.20686981,0.014669495,9.8849945
