Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2226245.546035,-0.085523956,-0.10726893,-0.034542795,0.19429596,-0.38814285,9.703272
2226245.6021499997,-0.05805425,-0.10718291,-0.034331076,0.5414241,-0.51822233,10.081535
2226245.695546,0.039766587,0.043624442,0.026582874,0.5147795,-0.5519023,9.668095
2226245.797192,0.018773155,-0.116535135,-0.050117496,0.6632707,-0.39996827,10.318193
2226245.894764,-0.060056414,-0.074890755,0.07721969,0.4314029,-0.49337402,9.303004
2226245.9937839997,-0.0058464375,0.12393686,-0.11305465,0.7921527,-0.429906,10.427317
2226246.0980849997,0.04871241,-0.06312544,-0.008185492,0.50011003,-0.57959473,9.750125
2226246.197315,-0.07302388,0.05560334,-0.04990391,0.6065387,-0.5983058,9.562415
2226246.398133,0.049362756,-0.13405927,-0.02196522,0.7695497,-0.49576905,9.735754
2226246.497799,0.04853531,-0.19430903,-0.011149324,0.7050339,-0.5584886,10.130034
2226246.592948,0.1648044,-0.0716859,0.2487499,0.5351372,-0.17453705,9.755513
2226246.6969069997,0.2019057,-0.6918783,0.10564067,2.449057,0.022004241,10.630893
2226246.795539,0.033878338,0.26946265,-0.0058943746,1.6801062,0.09744736,9.7144985
2226246.897085,-0.07412723,0.11744567,-0.014483868,2.259701,0.07439529,9.004825
2226246.998003,-0.043600474,-0.35135722,-0.13825454,1.6061599,0.17558487,9.713151
2226247.09572,0.5462809,0.049516153,-0.22400807,0.07753876,0.20342697,16.699423
2226247.2025719997,-0.12401702,1.5426134,-0.5897032,-1.8275496,0.9183403,22.075045
2226247.299954,-0.33201975,-1.0278627,1.7337631,12.067605,-0.6743477,13.0610895
2226247.404332,0.037897047,-1.1865051,1.4364843,0.13756393,-0.0955014,-0.026494903
2226247.498423,0.23352887,-1.0563085,1.4272455,0.12888199,-0.09235794,0.104183346
2226247.598134,0.39874765,-0.91874874,1.4055594,0.11361374,-0.099543,0.18082398
2226247.695586,0.5436835,-0.74915123,1.3807564,0.11840378,-0.09071136,0.25926086
2226247.7954309997,0.5287038,-0.4370876,1.3472521,0.100291446,-0.101638645,0.34518218
2226247.897295,0.47925767,-0.13753629,1.3306974,0.13367203,-0.09116043,0.4950206
2226248.004284,0.47790718,0.28702566,1.3173832,0.12394226,-0.07858658,0.8057744
2226248.112509,-1.3458703,-0.11296064,0.36695802,0.26629624,-0.084723815,-0.71087176
2226248.206616,-1.2981185,-0.19154759,0.3743829,0.105680235,-0.09430389,0.062719576
2226248.397736,9.458196,-3.6129715,-1.0853723,2.397265,-1.2954062,11.314522
2226248.496923,0.52747476,-0.78851724,1.0252129,1.4141093,-0.92552537,7.2525682
2226248.597575,0.02257961,-0.6665003,-0.15673022,2.3266118,-0.40640488,0.37871248
2226248.698329,-0.071698956,-0.17642882,0.0029198898,-0.94588304,1.3145664,7.8252773
2226248.796722,-0.01719177,-0.034120154,0.002137453,0.16630417,0.18591338,9.563164
2226248.899325,-0.005283978,0.0021792648,0.0019510319,0.23336472,0.11511063,9.781858
2226248.996293,-0.0046365634,0.0020069582,0.0005403554,0.23456222,0.11346405,9.834848
2226249.095021,-0.0063854614,0.0021582257,0.0024218787,0.23381378,0.11840378,9.855804
2226249.1974299997,-0.007451258,0.0013267868,0.0005957491,0.24893235,0.12783417,9.874366
2226249.3021609997,-0.007664045,0.0030189594,0.002223207,0.25536895,0.10642868,9.898915
2226249.399233,-0.0060139503,0.0035156389,0.0009888317,0.26225463,0.09460327,9.870026
2226249.4982439997,-0.009441971,-0.002309227,0.048456483,-0.11735596,0.282762,9.83874
2226249.604539,-0.018148111,-0.009824401,0.0020562266,0.30835876,0.09175918,9.932745
2226249.698939,-0.00076485984,0.0057047573,-0.00020799288,0.30192214,0.083825685,9.851315
2226249.802302,-0.0058269966,-0.008538627,-0.00026711504,0.21959335,0.09145981,9.823322
2226249.997004,0.00012330436,0.00905528,-0.0022306638,0.20103195,0.276026,9.822723
2226250.096157,-0.002575543,0.015739283,0.0018927086,0.21136047,0.2746788,9.78605
2226250.196471,-0.00468237,0.016316656,0.0036820865,0.22662872,0.17109421,9.837842
2226250.296164,-0.0022700785,-0.08493886,0.006382532,0.28770173,0.12798385,9.923763
2226250.3966099997,0.03532497,-0.037747912,0.015124092,0.6450087,-0.004191284,9.974359
2226250.498249,-0.004940164,-0.025576467,-0.0076427395,0.4297563,0.13741425,10.016271
2226250.592855,-0.02245977,0.030143788,-0.004046407,0.27168503,0.15837067,9.78605
2226250.700619,-0.011754128,0.0074006584,0.00036139096,0.27048752,0.085771635,9.758806
2226250.799602,-0.0062839948,0.0074901404,0.0011411646,0.28066635,0.12513977,9.828113
2226250.911765,-0.003996606,0.0060866545,0.003241067,0.2853067,0.1260379,9.832454
2226250.998518,-0.0056813215,0.010456369,-0.0008375642,0.26210496,0.10822494,9.842932
2226251.0964659997,-0.0015552861,0.0064712153,0.0016021577,0.27018815,0.11331436,9.808353
2226251.197321,-0.0019710055,0.008307198,0.0034186998,0.27797195,0.14355148,9.82467
